"AverageJitterInMsAvg","RoundTripLatencyMaxInMs","Packetssentcount","PacketLossRateMax","RoundTripLatencyAvgInMs","PacketLossRateAvg","PacketReorderRatioAvg","PacketReorderRatioMax","Packetssentsum","AverageJitterInMsMax"
"5","29","1","0","29","0","0","0","851","5"
"10","31","1","0","31","0","0","0","851","10"
"6","25","1","0","25","0","0","0","851","6"
"5","24","1","0","24","0","0","0","851","5"
"4","26","1","0","26","0","0","0","851","4"
"12","24","1","0","24","0","0","0","850","12"
"8","23","1","0","23","0","0","0","283","8"
"3","28","1","0","28","0","0","0","851","3"
"4","24","1","0","24","0","0","0","851","4"
"9","28","1","0","28","0","0","0","851","9"
"6","23","1","0","23","0","0","0","851","6"
"7","29","1","0","29","0","0","0","851","7"
"0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0"
"6","26","1","0","26","0","0","0","851","6"
"6","24","1","0","24","0","0","0","283","6"
"0","0","0","0","0","0","0","0","0","0"
"6","25","1","0","25","0","0","0","283","6"
"4","28","1","0","28","0","0","0","851","4"
"7","30","1","0","30","0","0","0","283","7"
"3","28","1","0","28","0","0","0","283","3"
"5","28","1","0","28","0","0","0","283","5"
"7","24","1","0","24","0","0","0","283","7"
"6","30","1","0","30","0","0","0","283","6"
"7","32","1","0","32","0","0","0","283","7"
"10","24","1","0","24","0","0","0","283","10"
"9","24","1","0","24","0","0","0","851","9"
"5","32","1","0","32","0","0","0","851","5"
"7","24","1","0","24","0","0","0","283","7"
"9","24","1","0","24","0","0","0","283","9"
"8","28","1","0","28","0","0","0","283","8"
"12","24","1","0","24","0","0","0","283","12"
"5","24","1","0","24","0","0","0","851","5"
"19","30","1","0","30","0","0","0","283","19"
"8","30","1","0","30","0","0","0","851","8"
"8","27","1","0","27","0","0","0","283","8"
"6","28","1","0","28","0","0","0","283","6"
"5","31","1","0","31","0","0","0","283","5"
"8","28","1","0","28","0","0","0","851","8"
"7","26","1","0","26","0","0","0","283","7"
"5","24","1","0","24","0","0","0","851","5"
"8","28","1","0","28","0","0","0","851","8"
"2","29","1","0","29","0","0","0","283","2"
"7","24","1","0","24","0","0","0","283","7"
"7","29","1","0","29","0","0","0","283","7"
"5","30","1","0","30","0","0","0","283","5"
"5","30","1","0","30","0","0","0","851","5"
"8","24","1","0","24","0","0","0","283","8"
"9","30","1","0","30","0","0","0","283","9"
"4","30","1","0","30","0","0","0","283","4"
"7","28","1","0","28","0","0","0","283","7"
"3","28","1","0","28","0","0","0","851","3"
"6","31","1","0","31","0","0","0","283","6"
"6","28","1","0","28","0","0","0","283","6"
"9","24","1","0","24","0","0","0","283","9"
"4","26","1","0","26","0","0","0","283","4"
"6","30","1","0","30","0","0","0","283","6"
"7","28","1","0","28","0","0","0","283","7"
