"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"07.05.2018 14:37:47","0","28,5","283","283","9,178998","0"
"07.05.2018 14:38:14","0","32","851","851","6,046633","0"
"07.05.2018 14:38:40","0","24","851","851","6,51715","0"
"07.05.2018 14:39:06","0","29","283","283","8,23915","0"
"07.05.2018 14:39:32","0","28,5","850","850","9,454827","0"
"07.05.2018 14:39:58","0","28","283","283","9,133864","0"
"07.05.2018 14:40:24","0","25,5","283","283","5,431973","0"
"07.05.2018 14:40:50","0","29,5","851","851","13,56573","0"
"07.05.2018 14:41:16","0","26,5","283","283","11,15189","0"
"07.05.2018 14:41:43","0","29,5","283","283","11,472","0"
"07.05.2018 14:42:09","0","27","283","283","8,751179","0"
"07.05.2018 14:42:35","0","31,5","851","851","11,25701","0"
"07.05.2018 14:43:01","0","24,5","283","283","5,030432","0"
