"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","21","5","13.107.8.2","True","27","34"
"3478","20","5","13.107.8.2","True","74","267"
"3478","24","5","13.107.8.2","True","33","47"
"3478","22","5","13.107.8.2","True","42","57"
"3478","22","5","13.107.8.2","True","28","37"
"3478","34","5","13.107.8.2","True","72","115"
"3478","21","5","13.107.8.2","True","49","130"
"3478","24","5","13.107.8.2","True","31","39"
"3478","17","5","13.107.8.2","True","76","277"
"3478","18","5","13.107.8.2","True","36","51"
"3478","18","5","13.107.8.2","True","34","74"
"3478","21","5","13.107.8.2","True","31","53"
"3478","20","5","13.107.8.2","True","119","316"
"3478","20","5","13.107.8.2","True","59","108"
"3478","20","5","13.107.8.2","True","55","159"
"3478","18","5","13.107.8.2","True","34","58"
"3478","19","5","13.107.8.2","True","30","50"
"3478","23","5","13.107.8.2","True","40","60"
"3478","24","5","13.107.8.2","True","28","31"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","9999","0","13.107.8.2","False","0","0"
"3478","23","5","13.107.8.2","True","41","101"
"3478","19","5","13.107.8.2","True","35","61"
"3478","20","5","13.107.8.2","True","25","30"
"3478","23","5","13.107.8.2","True","34","68"
"3478","27","5","13.107.8.2","True","42","59"
"3478","20","5","13.107.8.2","True","28","40"
"3478","20","5","13.107.8.2","True","51","82"
"3478","19","5","13.107.8.2","True","25","33"
"3478","19","5","13.107.8.2","True","22","27"
"3478","24","5","13.107.8.2","True","51","78"
"3478","28","5","13.107.8.2","True","81","252"
"3478","29","5","13.107.8.2","True","68","115"
"3478","19","5","13.107.8.2","True","26","35"
"3478","19","5","13.107.8.2","True","26","36"
"3478","20","5","13.107.8.2","True","30","37"
"3478","31","5","13.107.8.2","True","38","46"
"3478","20","5","13.107.8.2","True","78","280"
"3478","19","5","13.107.8.2","True","23","26"
"3478","18","5","13.107.8.2","True","72","228"
"3478","27","5","13.107.8.2","True","31","35"
"3478","19","5","13.107.8.2","True","43","92"
"3478","19","5","13.107.8.2","True","40","94"
"3478","21","5","13.107.8.2","True","90","279"
"3478","21","5","13.107.8.2","True","26","34"
"3478","19","5","13.107.8.2","True","77","253"
"3478","21","5","13.107.8.2","True","34","46"
"3478","26","5","13.107.8.2","True","81","288"
"3478","19","5","13.107.8.2","True","23","26"
"3478","20","5","13.107.8.2","True","34","55"
"3478","21","5","13.107.8.2","True","26","31"
"3478","26","5","13.107.8.2","True","72","158"
"3478","24","5","13.107.8.2","True","50","98"
"3478","22","5","13.107.8.2","True","29","37"
"3478","19","5","13.107.8.2","True","57","188"
"3478","23","5","13.107.8.2","True","32","62"
"3478","18","5","13.107.8.2","True","31","46"
"3478","20","5","13.107.8.2","True","60","115"
"3478","20","5","13.107.8.2","True","23","27"
"3478","27","5","13.107.8.2","True","58","104"
"3478","18","5","13.107.8.2","True","29","38"
"3478","21","5","13.107.8.2","True","32","49"
"3478","24","5","13.107.8.2","True","72","169"
"3478","19","5","13.107.8.2","True","23","29"
"3478","25","5","13.107.8.2","True","82","274"
"3478","21","5","13.107.8.2","True","62","217"
"3478","19","5","13.107.8.2","True","31","48"
"3478","21","5","13.107.8.2","True","29","38"
"3478","19","5","13.107.8.2","True","34","52"
"3478","20","5","13.107.8.2","True","77","286"
"3478","18","5","13.107.8.2","True","37","58"
"3478","19","5","13.107.8.2","True","24","35"
"3478","20","5","13.107.8.2","True","26","36"
"3478","19","5","13.107.8.2","True","24","35"
"3478","22","5","13.107.8.2","True","29","41"
"3478","25","5","13.107.8.2","True","34","46"
"3478","22","5","13.107.8.2","True","25","27"
"3478","34","5","13.107.8.2","True","52","118"
"3478","19","5","13.107.8.2","True","24","32"
"3478","19","5","13.107.8.2","True","32","45"
"3478","19","5","13.107.8.2","True","31","68"
"3478","26","5","13.107.8.2","True","50","92"
"3478","19","5","13.107.8.2","True","32","64"
"3478","20","5","13.107.8.2","True","69","129"
"3478","20","5","13.107.8.2","True","56","153"
"3478","28","5","13.107.8.2","True","55","127"
"3478","18","5","13.107.8.2","True","51","129"
"3478","19","5","13.107.8.2","True","24","28"
"3478","23","5","13.107.8.2","True","28","34"
"3478","29","5","13.107.8.2","True","81","239"
